list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
2,2,10,brdc,br,dc,BR-B,BR-BA,NA,9,9,3,3,10,3,orange,blue,orange,orange,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,3,10,brdf,br,df,BR-B,NA,BR-AB,9,9,3,3,10,3,NA,NA,NA,NA,NA,NA,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,4,10,ercf,er,cf,NA,R-BA,NR-AB,NA,NA,NA,NA,NA,NA,orange,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,Brauchst du den orangen dreieckigen Aufkleber?,Brauchst du den dreieckigen orangen Aufkleber?,Welche Frage passt besser?
2,5,10,erdc,er,dc,R-B,NR-BA,NA,9,2,1,3,3,2,orange,orange,orange,orange,orange,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,6,10,erdf,er,df,R-B,NA,NR-AB,9,2,1,3,3,2,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
1,7,10,zrcf,zr,cf,NA,NR-BA,R-AB,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,blue,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den orangen dreieckigen Aufkleber?,Brauchst du den dreieckigen orangen Aufkleber?,Welche Frage passt besser?
2,8,10,zrdc,zr,dc,NR-B,R-BA,NA,10,9,9,9,10,1,orange,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
3,9,10,zrdf,zr,df,NR-B,NA,R-AB,10,9,9,9,10,1,NA,NA,NA,NA,NA,NA,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen großen Aufkleber?,Welche Frage passt besser?
2,1,19,brcf,br,cf,NA,BR-AB,BR-BA,NA,NA,NA,NA,NA,NA,blue,blue,orange,orange,blue,orange,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,Brauchst du den blauen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen blauen Aufkleber?,Welche Frage passt besser?
3,2,19,brdc,br,dc,BR-A,BR-AB,NA,9,10,3,1,10,2,blue,orange,blue,blue,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
1,3,19,brdf,br,df,BR-A,NA,BR-BA,9,10,3,1,10,2,NA,NA,NA,NA,NA,NA,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
2,4,19,ercf,er,cf,NA,R-AB,NR-BA,NA,NA,NA,NA,NA,NA,blue,orange,orange,orange,orange,orange,diamond,diamond,diamond,diamond,diamond,triangle,Aufkleber,Brauchst du den blauen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen blauen Aufkleber?,Welche Frage passt besser?
3,5,19,erdc,er,dc,R-A,NR-BA,NA,9,3,2,2,1,2,orange,orange,orange,orange,orange,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
1,6,19,erdf,er,df,R-A,NA,NR-BA,9,3,2,2,1,2,NA,NA,NA,NA,NA,NA,diamond,diamond,diamond,diamond,diamond,triangle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
2,7,19,zrcf,zr,cf,NA,NR-BA,R-BA,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,blue,diamond,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen orangen Aufkleber?,Welche Frage passt besser?
3,8,19,zrdc,zr,dc,NR-A,R-AB,NA,10,9,9,10,9,2,blue,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen großen Aufkleber?,Welche Frage passt besser?
1,9,19,zrdf,zr,df,NR-A,NA,R-BA,10,9,9,10,9,2,NA,NA,NA,NA,NA,NA,diamond,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den diamantförmigen großen Aufkleber?,Welche Frage passt besser?
1,1,2,brcf,br,cf,NA,BR-CD,BR-CD,NA,NA,NA,NA,NA,NA,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
2,2,2,brdc,br,dc,BR-B,BR-CD,NA,10,9,3,1,10,1,brown,grey,brown,brown,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,3,2,brdf,br,df,BR-B,NA,BR-CD,10,9,3,1,10,1,NA,NA,NA,NA,NA,NA,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
1,4,2,ercf,er,cf,NA,R-CD,NR-CD,NA,NA,NA,NA,NA,NA,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
2,5,2,erdc,er,dc,R-B,NR-CD,NA,10,1,3,1,2,2,brown,brown,brown,brown,brown,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,6,2,erdf,er,df,R-B,NA,NR-CD,10,1,3,1,2,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
1,7,2,zrcf,zr,cf,NA,NR-CD,R-CD,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
2,8,2,zrdc,zr,dc,NR-B,R-CD,NA,9,10,9,9,9,2,brown,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,9,2,zrdf,zr,df,NR-B,NA,R-CD,9,10,9,9,9,2,NA,NA,NA,NA,NA,NA,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
2,1,11,brcf,br,cf,NA,BR-DC,BR-CD,NA,NA,NA,NA,NA,NA,grey,grey,brown,brown,grey,brown,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den grauen runden Aufkleber?,Brauchst du den runden grauen Aufkleber?,Welche Frage passt besser?
3,2,11,brdc,br,dc,BR-A,BR-DC,NA,10,10,3,1,9,1,grey,brown,grey,grey,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
1,3,11,brdf,br,df,BR-A,NA,BR-CD,10,10,3,1,9,1,NA,NA,NA,NA,NA,NA,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
2,4,11,ercf,er,cf,NA,R-DC,NR-CD,NA,NA,NA,NA,NA,NA,grey,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,quadrat,Aufkleber,Brauchst du den grauen runden Aufkleber?,Brauchst du den runden grauen Aufkleber?,Welche Frage passt besser?
3,5,11,erdc,er,dc,R-A,NR-DC,NA,10,1,1,1,2,2,grey,grey,grey,grey,grey,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
1,6,11,erdf,er,df,R-A,NA,NR-CD,10,1,1,1,2,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
2,7,11,zrcf,zr,cf,NA,NR-DC,R-CD,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,brown,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den grauen runden Aufkleber?,Brauchst du den runden grauen Aufkleber?,Welche Frage passt besser?
3,8,11,zrdc,zr,dc,NR-A,R-DC,NA,9,9,10,10,9,1,grey,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
1,9,11,zrdf,zr,df,NR-A,NA,R-CD,9,9,10,10,9,1,NA,NA,NA,NA,NA,NA,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
3,1,20,brcf,br,cf,NA,BR-CD,BR-DC,NA,NA,NA,NA,NA,NA,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,Brauchst du den braunen quadratischen Aufkleber?,Brauchst du den quadratischen braunen Aufkleber?,Welche Frage passt besser?
1,2,20,brdc,br,dc,BR-B,BR-CD,NA,10,9,3,1,9,1,brown,grey,brown,brown,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
2,3,20,brdf,br,df,BR-B,NA,BR-DC,10,9,3,1,9,1,NA,NA,NA,NA,NA,NA,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du quadratischen großen Aufkleber?,Welche Frage passt besser?
3,4,20,ercf,er,cf,NA,R-CD,NR-DC,NA,NA,NA,NA,NA,NA,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,Aufkleber,Brauchst du den braunen quadratischen Aufkleber?,Brauchst du den quadratischen braunen Aufkleber?,Welche Frage passt besser?
1,5,20,erdc,er,dc,R-B,NR-DC,NA,9,2,1,2,1,1,grey,grey,grey,grey,grey,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den grauen großen Aufkleber?,Welche Frage passt besser?
2,6,20,erdf,er,df,R-B,NA,NR-DC,9,2,1,2,1,1,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,circle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
3,7,20,zrcf,zr,cf,NA,NR-DC,R-DC,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den quadratischen grauen Aufkleber?,Welche Frage passt besser?
1,8,20,zrdc,zr,dc,NR-B,R-CD,NA,9,10,10,9,9,1,brown,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
2,9,20,zrdf,zr,df,NR-B,NA,R-DC,9,10,10,9,9,1,NA,NA,NA,NA,NA,NA,quadrat,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den quadratischen großen Aufkleber?,Welche Frage passt besser?
2,1,3,brcf,br,cf,NA,BR-EF,BR-EF,NA,NA,NA,NA,NA,NA,black,black,green,green,black,green,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,2,3,brdc,br,dc,BR-A,BR-EF,NA,9,10,1,1,10,3,black,green,black,black,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,3,3,brdf,br,df,BR-A,NA,BR-EF,9,10,1,1,10,3,NA,NA,NA,NA,NA,NA,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,4,3,ercf,er,cf,NA,R-EF,NR-EF,NA,NA,NA,NA,NA,NA,black,green,green,green,green,green,star,star,star,star,star,heart,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,5,3,erdc,er,dc,R-A,NR-EF,NA,10,3,3,3,2,1,black,black,black,black,black,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,6,3,erdf,er,df,R-A,NA,NR-EF,10,3,3,3,2,1,NA,NA,NA,NA,NA,NA,star,star,star,star,star,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
2,7,3,zrcf,zr,cf,NA,NR-EF,R-EF,NA,NA,NA,NA,NA,NA,black,black,black,black,black,green,star,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen schwarzen Aufkleber?,Welche Frage passt besser?
3,8,3,zrdc,zr,dc,NR-A,R-EF,NA,9,10,9,10,10,3,black,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
1,9,3,zrdf,zr,df,NR-A,NA,R-EF,9,10,9,10,10,3,NA,NA,NA,NA,NA,NA,star,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,1,12,brcf,br,cf,NA,BR-FE,BR-EF,NA,NA,NA,NA,NA,NA,green,green,black,black,green,black,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den grünen sternförmigen Aufkleber?,Brauchst du den sternförmigen grünen Aufkleber?,Welche Frage passt besser?
1,2,12,brdc,br,dc,BR-B,BR-FE,NA,10,9,2,3,9,2,green,black,green,green,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,3,12,brdf,br,df,BR-B,NA,BR-EF,10,9,2,3,9,2,NA,NA,NA,NA,NA,NA,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,4,12,ercf,er,cf,NA,R-FE,NR-EF,NA,NA,NA,NA,NA,NA,green,black,black,black,black,black,star,star,star,star,star,heart,Aufkleber,Brauchst du den grünen sternförmigen Aufkleber?,Brauchst du den sternförmigen grünen Aufkleber?,Welche Frage passt besser?
1,5,12,erdc,er,dc,R-B,NR-FE,NA,10,1,2,3,3,3,green,green,green,green,green,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,6,12,erdf,er,df,R-B,NA,NR-EF,10,1,2,3,3,3,NA,NA,NA,NA,NA,NA,star,star,star,star,star,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
3,7,12,zrcf,zr,cf,NA,NR-FE,R-EF,NA,NA,NA,NA,NA,NA,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den grünen sternförmigen Aufkleber?,Brauchst du den sternförmigen grünen Aufkleber?,Welche Frage passt besser?
1,8,12,zrdc,zr,dc,NR-B,R-FE,NA,10,10,10,9,10,1,green,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
2,9,12,zrdf,zr,df,NR-B,NA,R-EF,10,10,10,9,10,1,NA,NA,NA,NA,NA,NA,star,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen großen Aufkleber?,Welche Frage passt besser?
1,1,21,brcf,br,cf,NA,BR-EF,BR-FE,NA,NA,NA,NA,NA,NA,black,black,green,green,black,green,heart,star,heart,heart,star,star,Aufkleber,Brauchst du den schwarzen herzförmigen Aufkleber?,Brauchst du den herzförmigen schwarzen Aufkleber?,Welche Frage passt besser?
2,2,21,brdc,br,dc,BR-A,BR-EF,NA,9,9,2,3,10,3,black,green,black,black,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
3,3,21,brdf,br,df,BR-A,NA,BR-FE,9,9,2,3,10,3,NA,NA,NA,NA,NA,NA,heart,star,heart,heart,star,star,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du herzförmigen großen Aufkleber?,Welche Frage passt besser?
1,4,21,ercf,er,cf,NA,R-EF,NR-FE,NA,NA,NA,NA,NA,NA,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,Aufkleber,Brauchst du den schwarzen herzförmigen Aufkleber?,Brauchst du den herzförmigen schwarzen Aufkleber?,Welche Frage passt besser?
2,5,21,erdc,er,dc,R-A,NR-FE,NA,10,2,3,3,1,2,green,green,green,green,green,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den grünen großen Aufkleber?,Welche Frage passt besser?
3,6,21,erdf,er,df,R-A,NA,NR-FE,10,2,3,3,1,2,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,star,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
1,7,21,zrcf,zr,cf,NA,NR-FE,R-FE,NA,NA,NA,NA,NA,NA,green,green,green,green,green,black,heart,star,star,star,star,star,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den herzförmigen grünen Aufkleber?,Welche Frage passt besser?
2,8,21,zrdc,zr,dc,NR-A,R-EF,NA,9,10,9,9,10,3,black,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen großen Aufkleber?,Welche Frage passt besser?
3,9,21,zrdf,zr,df,NR-A,NA,R-FE,9,10,9,9,10,3,NA,NA,NA,NA,NA,NA,heart,star,star,star,star,star,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den herzförmigen großen Aufkleber?,Welche Frage passt besser?
3,1,4,brcf,br,cf,NA,BR-BC,BR-BC,NA,NA,NA,NA,NA,NA,orange,orange,brown,brown,orange,brown,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den orangen runden Aufkleber?,Brauchst du den runden orangen Aufkleber?,Welche Frage passt besser?
1,2,4,brdc,br,dc,BR-A,BR-BC,NA,9,9,3,3,9,3,orange,brown,orange,orange,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,3,4,brdf,br,df,BR-A,NA,BR-BC,9,9,3,3,9,3,NA,NA,NA,NA,NA,NA,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
3,4,4,ercf,er,cf,NA,R-BC,NR-BC,NA,NA,NA,NA,NA,NA,orange,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,diamond,Aufkleber,Brauchst du den orangen runden Aufkleber?,Brauchst du den runden orangen Aufkleber?,Welche Frage passt besser?
1,5,4,erdc,er,dc,R-A,NR-BC,NA,10,2,1,3,2,2,orange,orange,orange,orange,orange,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,6,4,erdf,er,df,R-A,NA,NR-BC,10,2,1,3,2,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
3,7,4,zrcf,zr,cf,NA,NR-BC,R-BC,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,brown,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den orangen runden Aufkleber?,Brauchst du den runden orangen Aufkleber?,Welche Frage passt besser?
1,8,4,zrdc,zr,dc,NR-A,R-BC,NA,10,9,10,9,9,2,orange,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den orangen großen Aufkleber?,Welche Frage passt besser?
2,9,4,zrdf,zr,df,NR-A,NA,R-BC,10,9,10,9,9,2,NA,NA,NA,NA,NA,NA,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
1,1,13,brcf,br,cf,NA,BR-CB,BR-BC,NA,NA,NA,NA,NA,NA,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
2,2,13,brdc,br,dc,BR-B,BR-CB,NA,10,10,2,2,9,3,brown,orange,brown,brown,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,3,13,brdf,br,df,BR-B,NA,BR-BC,10,10,2,2,9,3,NA,NA,NA,NA,NA,NA,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du runden großen Aufkleber?,Welche Frage passt besser?
1,4,13,ercf,er,cf,NA,R-CB,NR-BC,NA,NA,NA,NA,NA,NA,brown,orange,orange,orange,orange,orange,circle,circle,circle,circle,circle,diamond,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
2,5,13,erdc,er,dc,R-B,NR-CB,NA,10,1,1,1,1,3,brown,brown,brown,brown,brown,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen großen Aufkleber?,Welche Frage passt besser?
3,6,13,erdf,er,df,R-B,NA,NR-BC,10,1,1,1,1,3,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,diamond,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden großen Aufkleber?,Welche Frage passt besser?
1,7,13,zrcf,zr,cf,NA,NR-CB,R-BC,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden braunen Aufkleber?,Welche Frage passt besser?
